InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570242,21349,IVY HEART WREATH,1,10/9/2011 15:40,6.75,16380.0,United Kingdom
572905,23333,IVORY WICKER HEART MEDIUM,6,10/26/2011 15:39,1.25,14690.0,United Kingdom
568181,22163,HEART STRING MEMO HOLDER HANGING,24,9/25/2011 13:42,0.79,17154.0,United Kingdom
553912,23201,JUMBO BAG ALPHABET,20,5/19/2011 19:32,1.95,15122.0,United Kingdom
576351,23438, RED SPOT GIFT BAG LARGE,20,11/14/2011 15:51,1.25,17235.0,United Kingdom
574481,22623,BOX OF VINTAGE JIGSAW BLOCKS ,1,11/4/2011 12:45,5.95,18022.0,United Kingdom
537855,21688,SILVER PLATE CANDLE BOWL SMALL,6,12/8/2010 15:59,2.95,15996.0,United Kingdom
563257,37446,MINI CAKE STAND WITH HANGING CAKES,8,8/15/2011 12:07,1.45,13799.0,United Kingdom
566972,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,9/16/2011 9:13,4.95,16573.0,United Kingdom
573401,21060,PARTY INVITES BALLOON GIRL,24,10/30/2011 15:43,0.85,12364.0,Belgium
543736,21677,HEARTS  STICKERS,6,2/11/2011 12:36,0.85,15044.0,United Kingdom
572194,47566,PARTY BUNTING,1,10/21/2011 11:43,4.95,17832.0,United Kingdom
569133,47504K,ENGLISH ROSE GARDEN SECATEURS,12,9/30/2011 14:06,0.79,15185.0,United Kingdom
561385,84946,ANTIQUE SILVER T-LIGHT GLASS,12,7/27/2011 9:13,1.25,15660.0,United Kingdom
570229,23281,FOLDING BUTTERFLY MIRROR RED  ,1,10/9/2011 13:30,0.83,15756.0,United Kingdom
577337,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,11/18/2011 14:51,0.85,15494.0,United Kingdom
559679,21136,PAINTED METAL PEARS ASSORTED,24,7/11/2011 14:46,1.69,15265.0,United Kingdom
562313,84946,ANTIQUE SILVER T-LIGHT GLASS,36,8/4/2011 11:38,1.25,14640.0,United Kingdom
577730,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,11/21/2011 12:59,4.25,17253.0,United Kingdom
581019,79051A,SMOKEY GREY COLOUR GLASS,24,12/7/2011 10:11,0.29,14794.0,United Kingdom
568132,84988,SET OF 72 PINK HEART PAPER DOILIES,1,9/23/2011 16:22,1.45,15549.0,United Kingdom
574864,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,11/7/2011 12:29,4.25,14387.0,United Kingdom
542727,21787,RAIN PONCHO RETROSPOT,6,1/31/2011 15:09,0.85,17604.0,United Kingdom
579455,23366,SET 12 COLOURING PENCILS DOILY,16,11/29/2011 14:14,0.65,15239.0,United Kingdom
545232,10135,COLOURING PENCILS BROWN TUBE,10,3/1/2011 10:19,1.25,15676.0,United Kingdom
548708,47310M,"SMALL POP BOX,FUNKY MONKEY",1,4/3/2011 12:41,1.25,13269.0,United Kingdom
539957,22606,WOODEN SKITTLES GARDEN SET,2,12/23/2010 12:58,15.95,12585.0,Germany
548407,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,3/31/2011 10:07,0.29,16401.0,United Kingdom
542908,21484,CHICK GREY HOT WATER BOTTLE,2,2/1/2011 15:24,3.45,13110.0,United Kingdom
557350,22386,JUMBO BAG PINK POLKADOT,10,6/20/2011 10:41,2.08,16670.0,United Kingdom
550324,23182,TOILET SIGN OCCUPIED OR VACANT,24,4/17/2011 13:02,0.83,12997.0,United Kingdom
556475,23245,SET OF 3 REGENCY CAKE TINS,4,6/12/2011 12:03,4.95,18109.0,United Kingdom
571429,21592,RETROSPOT CIGAR BOX MATCHES ,1,10/17/2011 12:50,1.25,15335.0,United Kingdom
545543,21733,RED HANGING HEART T-LIGHT HOLDER,6,3/3/2011 14:43,2.95,13476.0,United Kingdom
550324,21314,SMALL GLASS HEART TRINKET POT,8,4/17/2011 13:02,2.1,12997.0,United Kingdom
540402,22670,FRENCH WC SIGN BLUE METAL,24,1/7/2011 9:31,1.25,16567.0,United Kingdom
536404,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,12/1/2010 11:29,1.25,16218.0,United Kingdom
568222,21429,RED GINGHAM ROSE JEWELLERY BOX,8,9/26/2011 10:06,1.95,16603.0,United Kingdom
541862,22624,IVORY KITCHEN SCALES,1,1/23/2011 16:02,8.5,14068.0,United Kingdom
536851,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,48,12/3/2010 9:49,4.25,12967.0,United Kingdom
551855,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,5/4/2011 15:08,2.08,12836.0,United Kingdom
549301,22138,BAKING SET 9 PIECE RETROSPOT ,3,4/8/2011 8:24,4.95,16643.0,United Kingdom
568792,23203,JUMBO BAG VINTAGE DOILY ,10,9/29/2011 9:53,2.08,18192.0,United Kingdom
556879,22746,POPPY'S PLAYHOUSE LIVINGROOM ,1,6/15/2011 12:07,2.1,16461.0,United Kingdom
544421,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2/18/2011 15:21,1.69,13951.0,United Kingdom
C577832,22423,REGENCY CAKESTAND 3 TIER,-1,11/22/2011 10:18,12.75,18274.0,United Kingdom
572279,23284,DOORMAT KEEP CALM AND COME IN,5,10/23/2011 10:56,8.25,16066.0,United Kingdom
556043,23241,TREASURE TIN GYMKHANA DESIGN,18,6/8/2011 12:49,2.08,14078.0,United Kingdom
552183,23055,IVORY CHANDELIER T-LIGHT HOLDER,2,5/6/2011 13:43,6.25,17604.0,United Kingdom
554663,22523,CHILDS GARDEN FORK PINK,1,5/25/2011 14:29,0.85,14985.0,United Kingdom
542790,21713,CITRONELLA CANDLE FLOWERPOT,8,2/1/2011 10:38,2.1,16612.0,United Kingdom
561600,22345,PARTY PIZZA DISH BLUE POLKADOT,3,7/28/2011 11:29,0.85,15861.0,United Kingdom
C550456,47566B,TEA TIME PARTY BUNTING,-1300,4/18/2011 13:08,2.55,15749.0,United Kingdom
540185,22156,HEART DECORATION WITH PEARLS ,18,1/5/2011 13:41,0.85,14653.0,United Kingdom
570721,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,10/12/2011 10:51,1.45,13842.0,United Kingdom
567383,22835,HOT WATER BOTTLE I AM SO POORLY,4,9/20/2011 10:21,4.95,18180.0,United Kingdom
546924,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,3/18/2011 10:06,1.65,14059.0,United Kingdom
540003,22427,ENAMEL FLOWER JUG CREAM,3,1/4/2011 10:37,5.95,16875.0,United Kingdom
544888,22429,ENAMEL MEASURING JUG CREAM,4,2/24/2011 11:55,4.25,14231.0,United Kingdom
547549,21205,MULTICOLOUR 3D BALLS GARLAND,6,3/23/2011 15:40,2.55,14794.0,United Kingdom
553916,20676,RED RETROSPOT BOWL,8,5/20/2011 8:18,1.25,17166.0,United Kingdom
537775,84559A,3D SHEET OF DOG STICKERS,12,12/8/2010 12:41,0.85,17722.0,United Kingdom
558056,22297,HEART IVORY TRELLIS SMALL,24,6/24/2011 14:54,1.25,15186.0,United Kingdom
545595,37446,MINI CAKE STAND WITH HANGING CAKES,3,3/4/2011 10:39,1.45,14570.0,United Kingdom
546136,22260,FELT EGG COSY BLUE RABBIT ,4,3/9/2011 16:32,1.63,,United Kingdom
570699,22300,COFFEE MUG DOG + BALL DESIGN,6,10/12/2011 9:20,2.55,15421.0,United Kingdom
575760,22900,SET 2 TEA TOWELS I LOVE LONDON ,1,11/11/2011 10:50,3.25,15965.0,United Kingdom
576784,21213,PACK OF 72 SKULL CAKE CASES,6,11/16/2011 13:40,0.55,16204.0,United Kingdom
570229,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,10/9/2011 13:30,2.08,15756.0,United Kingdom
570697,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,10/12/2011 9:10,4.95,15281.0,United Kingdom
570210,22952,60 CAKE CASES VINTAGE CHRISTMAS,2,10/9/2011 10:48,0.55,13259.0,United Kingdom
C544594,47591D,PINK FAIRY CAKE CHILDRENS APRON,-1,2/21/2011 16:58,1.95,15079.0,United Kingdom
562849,22713,CARD I LOVE LONDON ,24,8/10/2011 9:52,0.42,16700.0,United Kingdom
571269,22826,LOVE SEAT ANTIQUE WHITE METAL,1,10/16/2011 12:09,85.0,16243.0,United Kingdom
552696,22605,WOODEN CROQUET GARDEN SET,1,5/10/2011 15:48,14.95,13592.0,United Kingdom
571913,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,10/19/2011 15:29,1.25,18210.0,United Kingdom
552638,84912A,PINK ROSE WASHBAG,4,5/10/2011 13:00,3.75,17700.0,United Kingdom
546635,20971,PINK BLUE FELT CRAFT TRINKET BOX,4,3/15/2011 12:11,1.25,16392.0,United Kingdom
579899,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12/1/2011 8:33,5.95,15687.0,United Kingdom
536537,21688,SILVER PLATE CANDLE BOWL SMALL,12,12/1/2010 13:51,2.95,15922.0,United Kingdom
541413,22804,CANDLEHOLDER PINK HANGING HEART,5,1/17/2011 16:14,2.95,13859.0,United Kingdom
537298,22592,CARDHOLDER HOLLY WREATH METAL,4,12/6/2010 11:37,3.75,13497.0,United Kingdom
572946,23469,CARD HOLDER LOVE BIRD SMALL,6,10/27/2011 10:36,4.15,13988.0,United Kingdom
548212,21394,RED POLKADOT BEAKER ,12,3/30/2011 9:12,0.39,12456.0,Switzerland
555853,37489A,YELLOW/PINK FLOWER DESIGN BIG MUG,1,6/7/2011 13:44,0.39,14375.0,United Kingdom
576054,23365,SET 12 COLOUR PENCILS LOVE LONDON,1,11/13/2011 14:55,0.65,15787.0,United Kingdom
538002,22688,DOORMAT PEACE ON EARTH BLUE,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
572194,47593B,SCOTTIE DOGS BABY BIB,6,10/21/2011 11:43,0.39,17832.0,United Kingdom
537346,22960,JAM MAKING SET WITH JARS,6,12/6/2010 12:21,4.25,15301.0,United Kingdom
581010,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,12/7/2011 9:18,0.39,17503.0,United Kingdom
571677,22668,PINK BABY BUNTING,5,10/18/2011 13:32,2.95,13637.0,United Kingdom
536563,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,12/1/2010 15:08,0.42,17760.0,United Kingdom
572922,23351,ROLL WRAP 50'S CHRISTMAS,12,10/26/2011 17:00,1.25,17895.0,United Kingdom
C542259,22625,RED KITCHEN SCALES,-1,1/26/2011 17:09,8.5,16656.0,United Kingdom
568591,23349,ROLL WRAP VINTAGE CHRISTMAS,12,9/28/2011 10:39,1.25,17088.0,United Kingdom
548151,22789,T-LIGHT HOLDER SWEETHEART HANGING,8,3/29/2011 12:57,1.95,13803.0,United Kingdom
565788,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,9/7/2011 8:18,1.65,13210.0,United Kingdom
572990,22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,12,10/27/2011 10:54,0.85,18276.0,United Kingdom
555942,47566,PARTY BUNTING,4,6/8/2011 10:14,4.95,15743.0,United Kingdom
558328,23118,PARISIENNE JEWELLERY DRAWER ,2,6/28/2011 12:09,7.5,15146.0,United Kingdom
542247,21324,HANGING MEDINA LANTERN SMALL,6,1/26/2011 15:49,2.95,12997.0,United Kingdom
552329,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,5/9/2011 10:06,1.65,13492.0,Switzerland
570254,23378,PACK OF 12 50'S CHRISTMAS TISSUES,24,10/10/2011 9:41,0.39,16179.0,United Kingdom
577687,21989,PACK OF 20 SKULL PAPER NAPKINS,12,11/21/2011 11:16,0.85,12583.0,France
555574,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,6/5/2011 15:46,5.95,12417.0,Belgium
578949,85175,CACTI T-LIGHT CANDLES,16,11/27/2011 14:30,0.42,14954.0,United Kingdom
581010,21442,GREEN BIRDHOUSE DECORATION,24,12/7/2011 9:18,0.19,17503.0,United Kingdom
569148,22113,GREY HEART HOT WATER BOTTLE,4,9/30/2011 15:52,4.25,16613.0,United Kingdom
549047,79321,CHILLI LIGHTS,1,4/6/2011 10:07,5.75,17783.0,United Kingdom
536813,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,48,12/2/2010 16:59,0.42,15646.0,United Kingdom
566851,23295,SET OF 12 MINI LOAF BAKING CASES,2,9/15/2011 12:16,0.83,15573.0,United Kingdom
